barcode,tradeName,unitsPerPack,tier,why,batches,detail,lastStripCost,packetPrice
8699569010043,"Inaprol fort 500mg tab",1,أ — مؤكد,"أول دفعة 2026-03-27 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-27:1@2650 | 2026-05-11:2@2650 | 2026-07-26:6@2633 | 2026-08-16:8@2633",2633,2633
8680199023060,"Medexol eye drop",1,أ — مؤكد,"أول دفعة 2026-03-28 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-28:1@4319 | 2026-08-04:1@4370 | 2026-08-04:1@4750 | 2026-08-07:2@4750",4750,4750
6251151000317,"Gentadex eye drop",1,أ — مؤكد,"أول دفعة 2026-03-28 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-28:1@3292 | 2026-07-07:2@3292 | 2026-08-02:4@3292 | 2026-09-09:3@3291",3291,3291
8699514093367,"Lifta 5mg tab",2,أ — مؤكد,"أول دفعة 2026-03-29 = 2، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-29:2@12272 | 2026-08-09:2@13294 | 2026-08-09:2@13294 | 2026-09-09:2@13294",13294,26588
5055565789261,"Amlodipine 5mg tab",1,أ — مؤكد,"أول دفعة 2026-03-29 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-29:1@2853 | 2026-03-29:5@2875 | 2026-08-10:6@2853 | 2026-09-02:10@2853",2853,2853
6251159032365,"Lowvasc 2.5mg",2,أ — مؤكد,"أول دفعة 2026-03-29 = 2، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-29:2@2085 | 2026-04-03:2@2500 | 2026-08-02:4@2085 | 2026-08-30:8@2085",2085,4170
8697420513429,"Neuro Fuel ",5,أ — مؤكد,"أول دفعة 2026-03-30 = 5، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-30:5@7980 | 2026-05-10:5@7342 | 2026-05-10:5@7500 | 2026-07-13:10@7980",7980,39900
5391519923993,"Zanidip 20mg tab",1,أ — مؤكد,"أول دفعة 2026-04-03 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-03:1@11500 | 2026-04-30:1@11500 | 2026-08-05:2@10942 | 2026-09-13:2@10942",10942,10942
8901302098325,"Avas 10mg tab",3,أ — مؤكد,"أول دفعة 2026-04-03 = 3، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-03:3@1097 | 2026-07-29:9@1097 | 2026-09-02:6@1097 | 2026-09-17:6@1097",1097,3292
8852961013245,"Play Boy condom ",1,أ — مؤكد,"أول دفعة 2026-04-06 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-06:1@3725 | 2026-05-09:1@3599 | 2026-08-12:2@3850 | 2026-08-12:2@3778",3778,3778
5060464501302,"Fluconazole 150mg",2,أ — مؤكد,"أول دفعة 2026-04-09 = 2، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-09:2@1750 | 2026-05-12:2@1728 | 2026-07-26:10@1760 | 2026-09-08:10@1750",1750,3500
Olopat drop,"Olopat drop",1,أ — مؤكد,"أول دفعة 2026-04-19 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-19:1@4830 | 2026-05-10:1@4830 | 2026-07-25:1@4827 | 2026-09-05:2@4828",4828,4828
6251107425034,"Angiosar -Plus 160mg/10mg/12.5mg tab daraldawa",3,أ — مؤكد,"أول دفعة 2026-04-22 = 3، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-22:3@5045 | 2026-07-25:6@4772 | 2026-08-12:6@5045 | 2026-09-02:6@4772",4772,14316
6221032118844,"Doxydox tab",1,أ — مؤكد,"أول دفعة 2026-04-25 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-25:1@1485 | 2026-07-15:3@1435 | 2026-08-30:5@1931 | 2026-08-31:10@1931",1931,1931
6251875001799,"Prednicort 100ml syr",1,أ — مؤكد,"أول دفعة 2026-04-25 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-25:1@1995 | 2026-05-16:3@2170 | 2026-07-05:5@2025 | 2026-07-05:5@2025",2025,2025
6291100082711,"medo 30g oint",1,أ — مؤكد,"أول دفعة 2026-04-27 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-27:1@9210 | 2026-06-16:3@9119 | 2026-08-09:3@9216 | 2026-09-08:5@9210",9210,9210
4260747723198,"Atacand 16/12.5mg tab",1,أ — مؤكد,"أول دفعة 2026-04-30 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-04-30:1@6650 | 2026-05-29:2@6650 | 2026-07-28:1@6647 | 2026-08-13:4@6647",6647,6647
Ozempic 1mg,"Ozempic 1mg",1,أ — مؤكد,"4 دفعات بنفس الكمية = 1، و4 دفعة لاحقة كلها مضاعفات له",4,"2026-05-03:1@147140 | 2026-05-11:1@147140 | 2026-08-12:1@147136 | 2026-09-09:1@147136",147136,147136
5055565788820,"Spironolactone 25mg accord",2,أ — مؤكد,"4 دفعات بنفس الكمية = 2، و4 دفعة لاحقة كلها مضاعفات له",4,"2026-05-18:2@2960 | 2026-05-23:2@2960 | 2026-07-16:2@2963 | 2026-08-31:2@2963",2963,5925
677683070363,"Pms-risdronate",1,أ — مؤكد,"4 دفعات بنفس الكمية = 1، و4 دفعة لاحقة كلها مضاعفات له",4,"2026-06-10:1@14150 | 2026-07-21:1@14111 | 2026-08-01:1@14111 | 2026-09-08:1@14111",14111,14111
4019338607757,"Uralyt-U 280g powder",1,أ — مؤكد,"4 دفعات بنفس الكمية = 1، و4 دفعة لاحقة كلها مضاعفات له",4,"2026-06-19:1@20450 | 2026-08-31:1@20452 | 2026-09-05:1@20453 | 2026-09-13:1@20452",20452,20452
8002660030078,"Betasec 8mg tab",1,أ — مؤكد,"أول دفعة 2026-03-22 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-22:1@6135 | 2026-06-08:1@4602 | 2026-07-10:4@4602",4602,4602
5391189200493,"Coveram 5/5mg",1,أ — مؤكد,"أول دفعة 2026-03-22 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-22:1@11453 | 2026-08-30:1@11450 | 2026-08-30:2@11450",11450,11450
4260095681454,"Dilatrend 25mg ",3,أ — مؤكد,"أول دفعة 2026-03-22 = 3، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-22:3@6713 | 2026-08-13:3@6713 | 2026-08-13:3@6757",6757,20271
3582910079040,"Amaryl 1mg tab sanofi",1,أ — مؤكد,"أول دفعة 2026-03-22 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-22:1@6144 | 2026-04-02:1@6144 | 2026-09-02:1@6144",6144,6144
5391189310031,"Triplixam 5mg/1.25/5mg tab",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:1@16668 | 2026-07-26:2@16668 | 2026-08-06:2@16668",16668,16668
Methycobal 500mcg,"Methycobal 500mcg",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:1@3533 | 2026-08-31:6@3533 | 2026-09-09:15@3533",3533,3533
9323610009029,"Piax75mg",2,أ — مؤكد,"أول دفعة 2026-03-23 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:2@5645 | 2026-07-04:4@5645 | 2026-08-27:4@5645",5645,11290
7640153080653,"Olfen 50mg SR tab",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:1@2195 | 2026-07-11:5@2195 | 2026-08-02:8@2200",2200,2200
8901138150891,"Pilex Oint",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:1@4937 | 2026-05-18:2@4937 | 2026-08-01:3@4938",4938,4938
6217235010108,"kANAGESIC",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:1@776 | 2026-06-18:5@803 | 2026-08-13:8@798",798,798
8682549146832,"Yenizinc tab",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:1@6420 | 2026-08-23:5@6208 | 2026-09-10:10@7800",7800,7800
Samadol advance,"Samadol advance",2,أ — مؤكد,"أول دفعة 2026-03-23 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:2@460 | 2026-08-04:6@545 | 2026-09-05:8@561",561,1122
6251875001300,"Piodol ORANGR TAB",2,أ — مؤكد,"أول دفعة 2026-03-23 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:2@1063 | 2026-07-14:8@979 | 2026-09-16:10@979",979,1957
8901111085721,"Diazac 5\1000mg tab",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:1@7154 | 2026-05-31:3@7510 | 2026-06-25:6@7611",7611,7611
8901111076866,"Sitapril M 50/1000mg tab",3,أ — مؤكد,"أول دفعة 2026-03-23 = 3، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-23:3@3017 | 2026-07-12:12@2160 | 2026-07-26:12@2160",2160,6480
6221032112033,"Epilat Retard 20mg tab",2,أ — مؤكد,"أول دفعة 2026-03-24 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-24:2@714 | 2026-06-14:4@720 | 2026-08-13:4@715",715,1430
8901302097557,"Supixime syr",1,أ — مؤكد,"أول دفعة 2026-03-24 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-24:1@3511 | 2026-07-26:10@2700 | 2026-07-29:13@2700",2700,2700
3664798030648,"Zympass 10\10",1,أ — مؤكد,"أول دفعة 2026-03-24 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-24:1@9944 | 2026-04-25:1@9950 | 2026-08-18:2@9950",9950,9950
8901111081228,"Sacuzac 100mg tab",3,أ — مؤكد,"أول دفعة 2026-03-24 = 3، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-24:3@9162 | 2026-09-02:3@9162 | 2026-09-05:3@9163",9163,27488
4031571063008,"carvedi-denk 6.25 mg ",1,أ — مؤكد,"أول دفعة 2026-03-25 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-25:1@2121 | 2026-07-23:3@2121 | 2026-07-24:3@2121",2121,2121
4031571075353,"Denk-Air 10mg",1,أ — مؤكد,"أول دفعة 2026-03-25 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-25:1@7158 | 2026-08-09:2@7158 | 2026-09-05:4@7158",7158,7158
5017007601333,"Sudocrem 60g",1,أ — مؤكد,"أول دفعة 2026-03-26 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-26:1@2200 | 2026-07-19:5@5010 | 2026-09-06:5@5080",5080,5080
6251161020183,"Ibuphil syr",1,أ — مؤكد,"أول دفعة 2026-03-26 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-26:1@2195 | 2026-07-19:5@2200 | 2026-09-06:1@2195",2195,2195
Lyrica 75 mg,"Lyrica 75 mg",1,أ — مؤكد,"أول دفعة 2026-03-26 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-26:1@14228 | 2026-08-23:2@14316 | 2026-09-13:1@14228",14228,14228
6251106160486,"Refit 120mg cap",1,أ — مؤكد,"أول دفعة 2026-03-27 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-27:1@7056 | 2026-05-29:4@7055 | 2026-07-22:8@7056",7056,7056
Septrin tab,"Septrin tab",1,أ — مؤكد,"أول دفعة 2026-03-27 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-27:1@3863 | 2026-07-29:2@3863 | 2026-08-19:2@3865",3865,3865
6291100081394,"adol 100mg drop julphar",1,أ — مؤكد,"أول دفعة 2026-03-27 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-27:1@1646 | 2026-07-14:2@1689 | 2026-07-26:10@1646",1646,1646
8435080005669,"Acuaiss 15ml eye drop disop",1,أ — مؤكد,"أول دفعة 2026-03-28 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-28:1@14837 | 2026-09-14:1@14837 | 2026-09-16:1@14840",14840,14840
Ronic eye drop,"Ronic eye drop",1,أ — مؤكد,"أول دفعة 2026-03-28 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-28:1@5290 | 2026-07-25:1@5486 | 2026-08-19:1@5486",5486,5486
8964003535155,"Empiget 25mg tab",2,أ — مؤكد,"أول دفعة 2026-03-28 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-28:2@7217 | 2026-04-27:4@7400 | 2026-08-22:8@7558",7558,15115
6223005180520,"Lidocaine solution",1,أ — مؤكد,"أول دفعة 2026-03-28 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-28:1@2195 | 2026-07-08:4@3350 | 2026-08-07:3@2194",2194,2194
5055565789278,"Amlodipine 10mg tab",2,أ — مؤكد,"أول دفعة 2026-03-29 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-29:2@2853 | 2026-03-29:2@2750 | 2026-03-29:4@2950",2950,5900
6251106804977,"revma 20mg",4,أ — مؤكد,"أول دفعة 2026-03-29 = 4، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-29:4@9655 | 2026-08-13:4@9655 | 2026-09-05:4@9655",9655,38618
5206892100117,"Sinomarin  Adult",1,أ — مؤكد,"أول دفعة 2026-03-29 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-29:1@10199 | 2026-07-08:2@10210 | 2026-07-29:2@9936",9936,9936
869098000305,"Centraid Energy+ ",2,أ — مؤكد,"أول دفعة 2026-03-29 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-29:2@5400 | 2026-07-14:10@5486 | 2026-09-16:10@5490",5490,10980
6251106803437,"Sefarin 300mg cap",1,أ — مؤكد,"أول دفعة 2026-03-29 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-29:1@10635 | 2026-08-26:1@10635 | 2026-08-26:1@10635",10635,10635
9319871000639,"White glo coffe &tea",1,أ — مؤكد,"أول دفعة 2026-03-29 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-29:1@4500 | 2026-04-06:1@5210 | 2026-07-14:1@5216",5216,5216
6251158710103,"Osteo-Alfa 1.0mcg cap",3,أ — مؤكد,"أول دفعة 2026-03-30 = 3، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-30:3@4091 | 2026-07-09:3@4091 | 2026-08-13:6@4093",4093,12280
141119900574,"Vitami C500 tab",1,أ — مؤكد,"أول دفعة 2026-03-30 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-30:1@985 | 2026-05-16:2@990 | 2026-07-25:20@985",985,985
6192402827140,"tallis 250mg tab",2,أ — مؤكد,"أول دفعة 2026-03-30 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-30:2@3409 | 2026-07-29:6@3409 | 2026-09-12:6@3409",3409,6817
8680923353081,"dr.Clinic sun creem 50+Max oil",1,أ — مؤكد,"أول دفعة 2026-03-31 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-31:1@9060 | 2026-05-21:1@9100 | 2026-08-31:1@9600",9600,9600
8710908710773,"Simple micellar gel wash ",2,أ — مؤكد,"أول دفعة 2026-03-31 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-31:2@4370 | 2026-06-20:2@4930 | 2026-09-02:2@4015",4015,8030
5054563093592,"Driclor 20ml",1,أ — مؤكد,"أول دفعة 2026-03-31 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-03-31:1@15680 | 2026-06-13:1@16500 | 2026-09-03:1@16655",16655,16655
6263331112475,"Kapoot lubricant",1,أ — مؤكد,"أول دفعة 2026-04-01 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-01:1@3210 | 2026-08-03:1@3256 | 2026-08-30:1@2970",2970,2970
Progeva 200mg,"Progeva 200mg",1,أ — مؤكد,"أول دفعة 2026-04-02 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-02:1@16362 | 2026-08-06:1@16361 | 2026-08-07:2@16362",16362,16362
6221051011317,"congestal tab",1,أ — مؤكد,"أول دفعة 2026-04-05 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-05:1@1500 | 2026-06-08:6@1500 | 2026-08-23:20@1700",1700,1700
8698712455496,"Acne off soap",1,أ — مؤكد,"أول دفعة 2026-04-06 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-06:1@5770 | 2026-08-15:2@5395 | 2026-08-15:2@5300",5300,5300
9314839002618,"QV skin lotion 250ml",1,أ — مؤكد,"أول دفعة 2026-04-06 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-06:1@15770 | 2026-07-15:1@16945 | 2026-08-04:1@17712",17712,17712
6285095004629,"Avogain 5% solution",1,أ — مؤكد,"أول دفعة 2026-04-07 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-07:1@8625 | 2026-08-05:2@8423 | 2026-08-31:1@8400",8400,8400
3337872411991,"Laroche-posay 400ml",1,أ — مؤكد,"أول دفعة 2026-04-07 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-07:1@14850 | 2026-08-31:1@15400 | 2026-09-03:1@22500",22500,22500
8433042020545,"Nucleo cmp amp",3,أ — مؤكد,"أول دفعة 2026-04-08 = 3، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-08:3@5454 | 2026-08-05:3@5454 | 2026-08-11:3@5454",5454,16362
5060806461110,"Derma-Life",2,أ — مؤكد,"أول دفعة 2026-04-08 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-08:2@13625 | 2026-08-06:4@13499 | 2026-08-25:2@13625",13625,27250
6221035009439,"Spasmorest 10mg tab",1,أ — مؤكد,"أول دفعة 2026-04-09 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-09:1@710 | 2026-05-31:3@735 | 2026-08-23:10@660",660,660
604776737964,"Omega-3 AMS",1,أ — مؤكد,"أول دفعة 2026-04-12 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-12:1@26320 | 2026-07-19:1@26320 | 2026-08-15:2@26325",26325,26325
7640153087416,"Bactiflox Neo 750mg ",1,أ — مؤكد,"أول دفعة 2026-04-12 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-12:1@13294 | 2026-05-12:1@13294 | 2026-06-02:3@13294",13294,13294
Zyloric 100mg,"Zyloric 100mg",4,أ — مؤكد,"أول دفعة 2026-04-13 = 4، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-13:4@2600 | 2026-07-12:8@2597 | 2026-09-08:12@2597",2597,10389
6223003975333,"colona tab",2,أ — مؤكد,"أول دفعة 2026-04-14 = 2، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-14:2@1750 | 2026-06-24:6@1625 | 2026-08-26:10@1500",1500,3000
7702018334919,"ماكينه حلاقة Venus",1,أ — مؤكد,"أول دفعة 2026-04-18 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-18:1@7560 | 2026-08-18:2@7160 | 2026-09-09:3@7160",7160,7160
5055565789094,"Propranolol 40mg",1,أ — مؤكد,"أول دفعة 2026-04-18 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-18:1@1975 | 2026-06-18:1@1975 | 2026-07-14:4@1975",1975,1975
6251106400698,"cefodox 200mg 10tab pharma international",1,أ — مؤكد,"أول دفعة 2026-04-19 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-19:1@9870 | 2026-08-17:1@9895 | 2026-08-17:2@9875",9875,9875
8906056851875,"Triumph amp",1,أ — مؤكد,"أول دفعة 2026-04-19 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-19:1@5099 | 2026-08-07:1@5005 | 2026-09-06:4@4729",4729,4729
Vermox 100mg tab,"Vermox 100mg tab",1,أ — مؤكد,"أول دفعة 2026-04-23 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-23:1@3135 | 2026-04-23:1@3135 | 2026-08-15:2@3182",3182,3182
9008732007909,"Doxycycline G.L 100mg",1,أ — مؤكد,"أول دفعة 2026-04-25 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-25:1@5247 | 2026-07-12:3@5267 | 2026-09-02:5@5266",5266,5266
8699569280057,"klamoks 312.5mg syrp",1,أ — مؤكد,"أول دفعة 2026-04-25 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-25:1@4938 | 2026-08-04:2@4937 | 2026-09-14:2@4940",4940,4940
4010439201400,"Lacalut sensitive",1,أ — مؤكد,"أول دفعة 2026-04-27 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-27:1@6950 | 2026-06-04:1@6579 | 2026-08-01:2@6586",6586,6586
6253810390616,"Mero cream",1,أ — مؤكد,"أول دفعة 2026-04-27 = 1، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-27:1@6150 | 2026-06-16:1@5923 | 2026-09-08:4@6305",6305,6305
100852300027,"hyporic 100 tab",3,أ — مؤكد,"أول دفعة 2026-04-30 = 3، و2 دفعة لاحقة كلها مضاعفات له",3,"2026-04-30:3@513 | 2026-04-30:3@513 | 2026-09-16:15@530",530,1590
8901117086197,"foracort inhaler",2,أ — مؤكد,"3 دفعات بنفس الكمية = 2، و3 دفعة لاحقة كلها مضاعفات له",3,"2026-06-07:2@14316 | 2026-08-02:2@14410 | 2026-09-14:2@14340",14340,28680
RENNIE,"RENNIE",40,أ — مؤكد,"3 دفعات بنفس الكمية = 40، و3 دفعة لاحقة كلها مضاعفات له",3,"2026-06-25:40@667 | 2026-08-12:40@666 | 2026-09-09:40@666",666,26650
3582910077077,"Xatral XL10mg",2,أ — مؤكد,"3 دفعات بنفس الكمية = 2، و3 دفعة لاحقة كلها مضاعفات له",3,"2026-07-12:2@18110 | 2026-08-03:2@18110 | 2026-09-17:2@15000",15000,30000
4031571077845,"Axaban-Denk 5mg",3,أ — مؤكد,"3 دفعات بنفس الكمية = 3، و3 دفعة لاحقة كلها مضاعفات له",3,"2026-07-21:3@17719 | 2026-08-09:3@17719 | 2026-09-05:3@17719",17719,53156
d742d6f11fdb14dd1201595666e9e6f3944f8642586869deb5a8188dd4be0ea2430981f9aa60a676,"nasonex spray ",1,أ — مؤكد,"3 دفعات بنفس الكمية = 1، و3 دفعة لاحقة كلها مضاعفات له",3,"2026-07-24:1@10975 | 2026-07-27:1@10973 | 2026-09-05:1@10980",10980,10980
063935016010,"Arthri Flex cream",2,أ — مؤكد,"3 دفعات بنفس الكمية = 2، و3 دفعة لاحقة كلها مضاعفات له",3,"2026-07-31:2@10649 | 2026-07-31:2@10426 | 2026-07-31:2@10430",10430,20860
